,IMG,Pti,Ptj,XPti,XPtj,XRefPti,XRefPtj,YPti,YPtj,YRefPti,YRefPtj,Distij,DistRefij
60,DSC00849_CLAHE_RGB.JPG,0,1,958,2678,958,2678,1719,1276,1719,1276,1776.1331594224573,1776.1331594224573
61,DSC00849_CLAHE_RGB.JPG,0,2,958,696,958,696,1719,1406,1719,1406,408.1825571971443,408.1825571971443
62,DSC00849_CLAHE_RGB.JPG,0,3,958,4675,958,4675,1719,1753,1719,1753,3717.155498496128,3717.155498496128
63,DSC00849_CLAHE_RGB.JPG,0,4,958,2922,958,3560,1719,2151,1719,2354,2010.9500242422735,2678.363119519084
64,DSC00849_CLAHE_RGB.JPG,1,0,2678,958,2678,958,1276,1719,1276,1719,1776.1331594224573,1776.1331594224573
65,DSC00849_CLAHE_RGB.JPG,1,2,2678,696,2678,696,1276,1406,1276,1406,1986.2587948200505,1986.2587948200505
66,DSC00849_CLAHE_RGB.JPG,1,3,2678,4675,2678,4675,1276,1753,1276,1753,2053.1775373795613,2053.1775373795613
67,DSC00849_CLAHE_RGB.JPG,1,4,2678,2922,2678,3560,1276,2151,1276,2354,908.3837294888102,1392.8416995480857
68,DSC00849_CLAHE_RGB.JPG,2,0,696,958,696,958,1406,1719,1406,1719,408.1825571971443,408.1825571971443
69,DSC00849_CLAHE_RGB.JPG,2,1,696,2678,696,2678,1406,1276,1406,1276,1986.2587948200505,1986.2587948200505
70,DSC00849_CLAHE_RGB.JPG,2,3,696,4675,696,4675,1406,1753,1406,1753,3994.1019015543407,3994.1019015543407
71,DSC00849_CLAHE_RGB.JPG,2,4,696,2922,696,3560,1406,2151,1406,2354,2347.3604324858165,3016.819517306264
72,DSC00849_CLAHE_RGB.JPG,3,0,4675,958,4675,958,1753,1719,1753,1719,3717.155498496128,3717.155498496128
73,DSC00849_CLAHE_RGB.JPG,3,1,4675,2678,4675,2678,1753,1276,1753,1276,2053.1775373795613,2053.1775373795613
74,DSC00849_CLAHE_RGB.JPG,3,2,4675,696,4675,696,1753,1406,1753,1406,3994.1019015543407,3994.1019015543407
