,IMG,Pti,Ptj,XPti,XPtj,XRefPti,XRefPtj,YPti,YPtj,YRefPti,YRefPtj,Distij,DistRefij
54,DSC00974_16h30.JPG,2,0,941,3119,782.547826789353,2971.558315025947,1657,1778,1671.603988038549,1769.0990201622747,2181.3585216557135,2191.1805491329596
55,DSC00974_16h30.JPG,2,1,941,2266,782.547826789353,2401.664769833058,1657,2414,1671.603988038549,1234.7074164060878,1525.9993446918645,1677.0266216000837
56,DSC00974_16h30.JPG,2,3,941,964,782.547826789353,817.7687310236951,1657,2772,1671.603988038549,2788.0660578436336,1115.2371945016898,1117.0174866171694
57,DSC00974_16h30.JPG,3,0,964,3119,817.7687310236951,2971.558315025947,2772,1778,2788.0660578436336,1769.0990201622747,2373.196367770691,2382.667286055214
58,DSC00974_16h30.JPG,3,1,964,2266,817.7687310236951,2401.664769833058,2772,2414,2788.0660578436336,1234.7074164060878,1350.3214432126892,2218.4791481293414
59,DSC00974_16h30.JPG,3,2,964,941,817.7687310236951,782.547826789353,2772,1657,2788.0660578436336,1671.603988038549,1115.2371945016898,1117.0174866171694
60,DSC00979_17h30.JPG,0,1,4397,4461,2971.558315025947,2401.664769833058,1149,2443,1769.0990201622747,1234.7074164060878,1295.5817226250144,781.2509449707111
61,DSC00979_17h30.JPG,0,2,4397,1528,2971.558315025947,782.547826789353,1149,2130,1769.0990201622747,1671.603988038549,3032.0821228983887,2191.1805491329596
62,DSC00979_17h30.JPG,0,3,4397,657,2971.558315025947,817.7687310236951,1149,2800,1769.0990201622747,2788.0660578436336,4088.2026613170733,2382.667286055214
63,DSC00979_17h30.JPG,1,0,4461,4397,2401.664769833058,2971.558315025947,2443,1149,1234.7074164060878,1769.0990201622747,1295.5817226250144,781.2509449707111
64,DSC00979_17h30.JPG,1,2,4461,1528,2401.664769833058,782.547826789353,2443,2130,1234.7074164060878,1671.603988038549,2949.6538779999255,1677.0266216000837
65,DSC00979_17h30.JPG,1,3,4461,657,2401.664769833058,817.7687310236951,2443,2800,1234.7074164060878,2788.0660578436336,3820.7152471755862,2218.4791481293414
